,Unnamed: 0,Country of Citizenship,year,Removals,iso3
1,1,AFGHANISTAN,2025,35,AFG
5,5,BANGLADESH,2025,47,BGD
8,8,BOLIVIA,2025,31,BOL
13,13,BRAZIL,2025,614,BRA
21,21,"CHINA, PEOPLES REPUBLIC OF",2025,168,
26,26,COLOMBIA,2025,2434,COL
32,32,CUBA,2025,10,CUB
38,38,DOMINICAN REPUBLIC,2025,1155,DOM
43,43,ECUADOR,2025,1951,ECU
49,49,EL SALVADOR,2025,2668,SLV
56,56,GUATEMALA,2025,11522,GTM
61,61,HAITI,2025,161,HTI
66,66,HONDURAS,2025,6850,HND
71,71,INDIA,2025,457,IND
78,78,JAMAICA,2025,10,JAM
79,79,JORDAN,2025,35,JOR
85,85,MEXICO,2025,26218,MEX
88,88,MOROCCO,2025,11,MAR
93,93,NICARAGUA,2025,225,NIC
98,98,PERU,2025,192,PER
105,105,RUSSIA,2025,23,
117,117,TURKIYE,2025,50,
122,122,UZBEKISTAN,2025,12,UZB
125,125,VENEZUELA,2025,50,VEN
